tweet_id, tweet_time, tweet_text, tweet_User_name, tweet_User_id, User_id_created_at, User_followers, User_friends, tweet_language, Retweet_count, favorite_count, hashtags
854427015138639873,Tue Apr 18 20:10:49 +0000 2017,Rishi Sunak MP in @HouseofCommons moaning about lack of borrowing 4 private businesses!Investing could fix our public services! #FinanceBill,rhodri_huw,316464212,Mon Jun 13 13:57:22 +0000 2011,478,818,en,0,0,['FinanceBill']
854426682211483649,Tue Apr 18 20:09:30 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",cach113,4220150053,Fri Nov 13 05:18:46 +0000 2015,415,5420,en,89,0,['DeMonetisation']
854426506164097024,Tue Apr 18 20:08:48 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",crgarciak,3219834481,Mon May 18 23:42:41 +0000 2015,299,1692,en,89,0,['DeMonetisation']
854425915362693120,Tue Apr 18 20:06:27 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",isabell0q,3409598773,Tue Sep 01 01:19:19 +0000 2015,193,302,en,89,0,['DeMonetisation']
854425323542159361,Tue Apr 18 20:04:06 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",luis_lher,3029012069,Tue Feb 10 23:24:17 +0000 2015,398,1853,en,89,0,['DeMonetisation']
854425085670637568,Tue Apr 18 20:03:09 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",be_famous0,2916529294,Thu Dec 11 23:31:02 +0000 2014,476,1587,en,89,0,['DeMonetisation']
854425029085409280,Tue Apr 18 20:02:56 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",grindmodemedia,58126713,Sun Jul 19 04:58:30 +0000 2009,25,654,en,89,0,['DeMonetisation']
854424296810319872,Tue Apr 18 20:00:01 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",daseteav,815308744737390593,Sat Dec 31 21:28:47 +0000 2016,6,21,en,89,0,['DeMonetisation']
854423729354440704,Tue Apr 18 19:57:46 +0000 2017,"RT @irajdeep: Under @MamataOfficial Leadership The Fake Currency Cottage Industry Back On Track Post #DeMonetisation
@NarendraModi @RBI @NI…",comicduo,147741264,Mon May 24 23:06:33 +0000 2010,2196,264,en,89,0,['DeMonetisation']
854422491573264384,Tue Apr 18 19:52:51 +0000 2017,@suhelseth #BreakTheTag Hw #Maulavi arngd 10Lac aftr #DeMonetisation ?Bt in #Odisha our #NarendraModi spnds 2Lac fr… https://t.co/IumB4M7qr9,LambodarPrDash,415533135,Fri Nov 18 13:24:50 +0000 2011,276,1232,en,1,1,"['BreakTheTag', 'Maulavi', 'DeMonetisation', 'Odisha', 'NarendraModi']"
